Type,Title,Choice,Choice,Choice,Choice,Correct
MCQ,Quelle est la meilleure pratique pour gérer les mots de passe dans OpenLDAP?,Stocker les mots de passe en clair pour faciliter la récupération,Utiliser un algorithme de hachage fort et ne jamais stocker les mots de passe en clair,Laisser le choix aux utilisateurs,Encoder les mots de passe,2
MCQ,Quelle commande peut être utilisée pour vérifier la configuration SSL/TLS d'OpenLDAP?,openssl s_client -connect host:port,slapd -T test,ldapsearch -ZZ,tlscheck -ldap,1
MCQ,Quelle stratégie n'est pas recommandée pour sécuriser les sauvegardes d'OpenLDAP?,Chiffrer les sauvegardes,Stocker les sauvegardes sur un serveur connecté au réseau,Tester régulièrement les procédures de restauration,Limiter l'accès physique et réseau aux sauvegardes,2
MCQ,Quel est le principal avantage de l'authentification SASL dans OpenLDAP?,Elle permet l'utilisation de mécanismes d'authentification externes,Elle réduit la latence de l'authentification,Elle élimine le besoin de SSL/TLS,Elle supporte uniquement l'authentification par mot de passe,1
MCQ,Quelle meilleure pratique n'est pas associée à la gestion des ACL dans OpenLDAP?,Utiliser le principe du moindre privilège,Appliquer des ACLs identiques à tous les utilisateurs,Tester les ACLs dans un environnement de développement avant la production,Documenter toutes les ACLs et leurs changements,2
MCQ,Quel est l'impact de la désactivation de l'anonyme bind dans OpenLDAP?,Augmente la sécurité en empêchant les accès non authentifiés,Diminue la sécurité en limitant les méthodes d'authentification,Aucun impact sur la sécurité,Réduit la performance du serveur,1
MCQ,Quelle est l'importance de chiffrer les sauvegardes d'OpenLDAP?,Pour accélérer le processus de restauration,Pour prévenir la perte de données,Pour protéger contre l'accès non autorisé aux données sauvegardées,"Aucune, le chiffrement des sauvegardes n'est pas nécessaire",3
MCQ,Quelle est la meilleure approche pour sécuriser les communications entre les réplicas OpenLDAP?,Utiliser une connexion VPN,Transférer les données en clair pour une meilleure performance,Utiliser SSL/TLS pour toutes les réplications,Se fier à la sécurité du réseau interne,3
MCQ,Quelle option avec ldapsearch spécifie le filtre de recherche?,-f,-b,-s,Aucune des réponses ci-dessus,4
MCQ,"Pour spécifier un fichier LDIF avec ldapmodify, quelle option utilisez-vous?",-f,-l,-d,-F,1
MCQ,Quelle option de ldapsearch spécifie la base DN pour la recherche?,-b,-D,-s,-f,1
MCQ,Quelle option avec ldapdelete spécifie la suppression récursive?,-r,-R,-s,Cette fonctionnalité n'existe pas,4
MCQ,"Quelle option avec ldapsearch permet de réaliser une recherche en spécifiant le niveau de la recherche (base, one, sub)?",-s,-b,-l,-f,1
MCQ,Quelle commande est utilisée pour renommer ou déplacer une entrée dans un annuaire LDAP?,ldapmove,ldapmoddn,ldaprename,modrdn,2
MCQ,Quelle option avec ldapmoddn ou ldaprename permet de spécifier le nouveau parent de l'entrée?,-s,-n,-newsuperior,-p,3
MCQ,Quelle commande permet de changer le mot de passe d'un utilisateur dans un annuaire LDAP?,ldappasswd,ldapchpasswd,ldapmodpasswd,passwdldap,1
MCQ,Quelle option de ldappasswd spécifie le nouveau mot de passe?,-S,-a,-s,-n,3
MCQ,Quelle option avec ldapsearch permet d'effectuer une recherche en ignoant la vérification du certificat SSL/TLS?,-Z,-z,-x,-ZZ,4
MCQ,"Pour utiliser ldapsearch sans authentification, quelle option utilisez-vous?",-x,-n,-a,-N,1
MCQ,Quelle option avec ldapadd indique l'utilisation de l'authentification simple?,-x,-S,-W,-D,1
MCQ,Quelle option est utilisée avec la commande ldapsearch pour spécifier le DN (Distinguished Name) de départ de la recherche ?,-b,-s,-f,-o,1
MCQ,Quelle option est utilisée avec la commande ldapsearch pour spécifier le filtre de recherche ?,-f,-s,-l,-z,1
MCQ,Quelle option est utilisée avec la commande ldapsearch pour afficher uniquement les DNs (Distinguished Names) des résultats ?,-D,-L,-n,-d,3
MCQ,Quelle option est utilisée avec la commande ldapmodify pour spécifier les modifications à apporter dans un fichier LDIF ?,-f,-m,-a,-c,1
MCQ,Quelle commande est utilisée pour vérifier la configuration du serveur OpenLDAP ?,ldapcheck,ldapinfo,ldapconfig,ldapwhoami,2
MCQ,Quelle option est utilisée avec la commande ldapwhoami pour afficher le DN de l'utilisateur courant ?,-U,-D,-Q,-Y,3
