Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"Un auditeur apprend une nouvelle réglementation et pense que la direction n’a pas évalué les risques. Que doit-il faire ?","Informer immédiatement le comité d’audit / conseil d’administration","Informer la direction du risque réglementaire/de conformité et fournir des conseils","Effectuer un audit de l’activité de conformité","",2
MCQ,"Lors d’un audit des risques clés, quels critères de collecte de preuves sont spécifiés par les normes ?","1, 2 et 3 seulement","1 et 2 seulement","1, 2, 3 et 4","",3
MCQ,"Lorsque les auditeurs internes fournissent des conseils en gestion des risques, quelle action ne doivent-ils pas réaliser ?","Suivre les normes IIA pour les missions de conseil","Prendre des décisions en matière de gestion des risques","Documenter le rôle de conseil dans la charte d’audit interne","",2
MCQ,"Quels types de mesures sont les audits internes et les revues de direction ?","Mesures légales","Mesures administratives","Mesures managériales","",3
MCQ,"Un responsable SSI devenu responsable d’audit interne il y a 3 mois doit conseiller sur une mise à jour de la politique SSI. Que doit-il faire ?","Refuser officiellement mais conseiller 'off' au déjeuner","Accepter en rappelant qu’il occupait le poste SSI récemment","Refuser la mission de conseil","",3
MCQ,"Quel est l'objectif principal d'une sauvegarde de données ?","Protéger les copies de sauvegarde contre les menaces identifiées","Se protéger de la perte de données","Protéger les données contre les logiciels malveillants","",2
MCQ,"Laquelle des activités suivantes est incompatible au niveau de la gestion de la paie ?","Embaucher des employés et autoriser les modifications des taux de rémunération","Préparation des données de présence et préparation de la paie","Signature et distribution des chèques de paie","",2
MCQ,"Lequel des exemples suivants est une non-conformité mineure ?","Le personnel n'est pas au courant du processus disciplinaire","L’organisation a fait des revues de direction mais n’a pas conservé d’informations documentées sur les résultats","L'organisation n'a pas établi de politique de sécurité de l'information","",2
MCQ,"La direction demande à l’audit interne d’aider à décider comment mieux atténuer un risque de conformité. Comment répondre ?","Effectuer des recherches sur les options et fournir une analyse","Conseiller d’éviter le risque en souscrivant une assurance","Refuser de participer à cette décision","",1
MCQ,"Comment obtient-on des preuves confirmatives ?","Par l'analyse des données et de leurs variations","Par l'observation ou l'inspection directe d'éléments tangibles","Par la confirmation d'une tierce partie concernant les éléments observés lors de l'audit","",3
MCQ,"Quelle mesure permet d’identifier les actifs et définir les responsabilités de protection ?","Propriété des actifs","Réutilisation du matériel","Mise au rebut des supports","",1
MCQ,"Comment les preuves d'audit sont-elles évaluées ?","En effectuant des tests d'audit","En les comparant aux critères d'audit","En réalisant une revue de qualité","",2
MCQ,"Exigence : gestion des risques 'transparente et inclusive'. Quelles techniques fournissent les preuves les plus pertinentes et utiles ?","Examen de littérature sur les meilleures pratiques","Cartographie des processus d’identification des risques","Observation continue via la participation aux réunions du conseil","",3
MCQ,"Qu'est-ce qui est accompli lorsque le système de management répond aux critères ?","Adéquation","Pertinence","Efficacité","",1
MCQ,"Laquelle des déclarations ci-dessous est correcte ?","Les données utilisées pour les tests doivent être protégées","Les données utilisées pour les tests doivent être modifiées","Les données utilisées pour les tests doivent être sélectionnées de manière aléatoire","",1
MCQ,"Pourquoi l'auditeur doit-il interviewer les personnes responsables du SMSI ?","Pour comprendre comment l'organisation fonctionne avec le système de gestion en place","Pour fournir des informations sur les audits internes réalisés","Pour valider l'engagement de la haute direction","",1
MCQ,"Comment décrire au mieux l’objectif de la politique de sécurité de l’information ?","Documenter l’analyse des risques et la recherche de contre-mesures","Fournir des orientations et un soutien à la direction en matière de sécurité de l’information","Concrétiser le plan de sécurité avec tous les détails","",2
MCQ,"En gestion des risques, quelle activité les auditeurs internes ne doivent-ils pas effectuer ?","Consolider la déclaration des risques","Faciliter l’identification des risques","Prendre des décisions sur l’atténuation des risques","",3
MCQ,"Le comité des risques décide de lancer un produit en acceptant des risques hors tolérance. Meilleure réponse du responsable d’audit interne ?","Discuter avec les auditeurs externes et communiquer aux parties externes","Aucune action n’est nécessaire, décision de la direction","Discuter avec la direction après la réunion et communiquer la question au conseil d’administration","",3
MCQ,"Comment les nouvelles technologies impactent-elles le processus d'audit ?","Augmentent le temps nécessaire pour des tests techniques","Augmentent l'efficacité de l'audit et aident à minimiser les coûts","Réduisent l'efficacité de l'audit en augmentant le besoin de contrôles qualité","",2
MCQ,"Fraude pièces de rechange : quel contrôle interne aurait le plus probablement empêché la fraude ?","Niveaux de dépenses prédéfinis pour tous les fournisseurs","Séparer la fonction de réception de l'autorisation des achats","Faire correspondre quantités demandées et reçues via inventaire","",2
MCQ,"Utilisation abusive e-mail/Internet au travail : meilleure régulation juridique ?","Installer un antivirus","Installer une application de filtrage sites/pièces jointes","Rédiger un code de conduite définissant droits et obligations","",3
MCQ,"Laquelle des affirmations suivantes concernant les preuves d'audit est correcte ?","Elles doivent être vérifiables","Elles doivent être physiques","Elles doivent être uniquement qualitatives","",1
MCQ,"Comment s’appelle une action visant à éliminer la cause d’une non-conformité potentielle ?","Correction","Action corrective","Action préventive","",3
MCQ,"En quoi consiste la sécurité de l'information ?","Protéger l’organisme en identifiant uniquement la source de la menace","Protéger confidentialité, intégrité et disponibilité des informations quel que soit le type et la forme","Protéger CIA des données électroniques uniquement","",2
MCQ,"Lequel de ces éléments n'est pas un facilitateur COBIT ?","Processus","Personnes, aptitudes et compétences","Communication","",3
MCQ,"Lors de déclaration d’incident, quelles infos manquent le plus si on a déjà date/heure, description, conséquences ?","Le nom de la personne signalant l’incident","Le numéro du PC","Le nom du logiciel","",1
MCQ,"Les actifs et les mesures peuvent présenter des __________________ qui pourraient être exploitées par des __________________ .","Menaces, vulnérabilités","Menaces, risques","Vulnérabilités, menaces","",3
MCQ,"La reconnaissance vocale, la prise de décision et la traduction entre langues sont développées à l'aide de :","Software as a Service","Informatique en nuage","Intelligence artificielle","",3
MCQ,"Quelle mesure est une mesure préventive ?","Installer un système de journalisation qui reconnaît les changements","Mettre des informations sensibles dans un coffre-fort","Arrêter tout le trafic internet après qu’un hacker ait accédé aux systèmes","",2
TF,"Une connaissance des risques SI limitée à la DSI permet de garantir une priorisation juste des mesures de réduction des risques.","Vrai","Faux","","",2
MCQ,"Selon le modèle des trois lignes de défense, quelle est la troisième ligne ?","Direction générale","Auditeurs internes","Gestion des risques","",2
MCQ,"ISO 31000 et COSO ERM : lequel n’est pas l’une des 3 activités (COBIT) ?","Augmenter la probabilité d’atteindre les objectifs","Former les collaborateurs pour avoir un comportement responsable","Allouer et utiliser efficacement les ressources pour le traitement des risques","",2
MCQ,"Vulnérabilité importante détectée sur un service web : vers qui relayer en priorité ?","Propriétaires des données","Propriétaire du service web (risk owner)","Équipe de développement du service web","",2
MCQ,"Lequel n'est pas une catégorie de stratégies de réponse aux risques ?","Acceptation","Evitement","Conformité","",3
MCQ,"Élément le plus efficace pour communiquer le résultat d’une évaluation de risque ?","Scénario de risque incluant menaces et impacts","Constats de vulnérabilités","Valeur et criticité des actifs","",1
MCQ,"Lequel décrit le mieux la culture du risque ?","Niveau d’autorité/confiance accordé aux managers sur les risques","Leadership et engagement envers la gestion des risques","Système de valeurs et comportements façonnant les décisions","",3
MCQ,"Qu’est-ce qu’un indicateur clé de risque (KRI) ?","Mesure indiquant un risque déjà matérialisé","Mesure indiquant la cause profonde d’un incident","Mesure indiquant qu’un incident de risque est sur le point de se produire","",3
MCQ,"Le risque résiduel est défini comme :","Risque que les procédures d’audit échouent à détecter l’erreur","Risques internes/externes existant sans contrôles internes","Partie du risque inhérent restant après exécution des réponses au risque par la direction","",3
MCQ,"Sous-traitance nouvelle établie rapidement : quel élément n’est pas une mesure de contrôle aidant à atténuer les risques ?","Des objectifs définis et des responsabilités détaillées pour chaque partie","Un calendrier de communication et de reporting réguliers","L'identification d'un sous-traitant alternatif","",1
MCQ,"Définition IIA du risque : lequel n’est pas un risque ?","Une panne de courant prolongée dans la salle des machines","Non atteinte des objectifs de profit","Une pénurie d’employés qualifiés et bien formés","",2
MCQ,"Qui a la responsabilité principale d’identifier et de gérer les risques ?","Les propriétaires et actionnaires","Le conseil d’administration","Le Management","",3
MCQ,"Centre d’appels : mise en place de redondance hors site pour réduire impacts. Qu’a fait le directeur ?","Accord contractuel pour partager les risques","Accepté les risques","Établi un plan de remédiation pour réduire les risques","",3
MCQ,"Perte d’un système critique > 3h inacceptable : meilleure gestion du risque ?","Partager le risque en externalisant vers un audit externe","Partager le risque via assurance","Réduire le risque via technologie de détection pannes + sauvegarde","",3
MCQ,"E-commerce choisi sans DSI, non conforme à la politique SSI. Que doit faire le risk manager en priorité ?","S’opposer à l’implémentation car enfreint la politique SSI","Suggérer une analyse de risques concertée et conditionner la décision à l’acceptation du risque résiduel par la DG","Demander à la DSI de reprendre l’étude et donner son avis","",2
MCQ,"Condition la plus favorable pour gérer les risques ?","Gestion des risques et contrôle interne pleinement intégrés aux opérations","Comité de risque + équipe + processus","Stratégie de risque et politiques en place et communiquées","",1
MCQ,"Moyen le plus efficace pour s’assurer qu’un fournisseur PaaS respecte la politique SSI ?","Effectuer des audits périodiques chez le fournisseur","Surveiller les niveaux de service","Obtenir une garantie de sensibilisation régulière des employés du fournisseur","",1
MCQ,"Donnée la plus importante pour établir un plan de réduction des risques ?","Investissements actuels de réduction des risques","Connaissance de l’état actuel + situation cible","Lettre de mission risk management par la DG","",2
MCQ,"Référentiel de gestion des risques approprié pour risques SSI (sous-traitant IT) ?","ISO 27005","ISO 9001","ISO 31000","",1
MCQ,"Quelle norme spécifie les exigences d’un SMSI ?","ISO/IEC 27002","ISO/IEC 27000","ISO/IEC 27001","",3
MCQ,"Quelle norme fournit des lignes directrices de mise en œuvre des mesures SSI ?","ISO/IEC 27003","ISO/IEC 27002","ISO/IEC 27005","",2
MCQ,"ISO/IEC 27001 et RGPD ont en commun :","Traiter confidentialité, intégrité, disponibilité (CIA)","Exigences relatives à la protection des personnes physiques","Liste des mesures de sécurité à mettre en œuvre","",1
MCQ,"Quel est un exemple de menace humaine ?","Une clé USB transmet un virus au réseau","Trop de poussière dans la salle des serveurs","Une fuite provoque une panne d’alimentation électrique","",1
MCQ,"DSI : SI performant, levier de transformation, partenariat Directions-DSI, gouvernance intégrée, DSI en équipe de direction. Cela correspond à :","Optimiser les investissements SI","Transformer les métiers à l’aide des SI","Résoudre le problème informatique","",2
MCQ,"Pourquoi réaliser des audits internes (SMSI) ?","Établir et maintenir les critères de risque","Maintenir l’information documentée du SMSI","Établir l’efficacité du SMSI","",3
MCQ,"Événement possible ayant un effet perturbateur sur la fiabilité de l'information :","Dépendance","Menace","Vulnérabilité","",2
MCQ,"Parmi les éléments suivants, lequel n'est pas un avantage du SMSI ?","Protéger les actifs et l’information sensible","Réduire l'exposition aux violations SSI","Assurer la libre circulation des informations sensibles","",3
